Code,Group,Sub group,Section,Object,Title,NBS Code,NRM
Ac,,,,,Activities,,
Co,,,,,Complexes,,
EF,,,,,Elements/ functions,,
En,,,,,Entities,,
FI,,,,,Form of Information,,
PM,,,,,Project Management,,
Pr,,,,,Products,,
SL,,,,,Spaces/ locations,,
Ss,,,,,Systems,,
TE,,,,,Tools and Equipment,,
Zz,,,,,CAD,,
Ro,,,,,Roles,,
Pr_60_50_96_63,60,50,96,63,Plastics bladder water storage tanks,,
Pr_60_50_96_64,60,50,96,64,Polyethylene (PE) tanks,90-10-95/410 Waste water below ground storage tanks (greywater);,
Pr_60_50_96_65,60,50,96,65,Polypropylene (PP) tanks,90-10-95/400 Surface water below ground storage tanks;,
Pr_60_50_96_70,60,50,96,70,Rainwater storage butts,90-10-95/380 Rainwater storage butts;,
Pr_60_50_96_76,60,50,96,76,Sectional carbon steel tanks,90-10-95/390 Sectional steel tank;,
Pr_60_50_96_84,60,50,96,84,Stainless steel tanks,,
Pr_60_55,60,55,,,Liquid and gas source products,,
Pr_60_55_31,60,55,31,,Inlet connections and fill connections,,
Pr_60_55_31_29,60,55,31,29,Foam inlet adaptors,90-35-30/320 Foam inlet adaptors;,
Pr_60_55_31_30,60,55,31,30,Foam inlet boxes,90-35-30/330 Foam inlet boxes;,
Pr_60_55_31_42,60,55,31,42,Riser inlet breechings and boxes,,
Pr_60_55_31_47,60,55,31,47,Liquefied petroleum gas (LPG) fill connections,90-30-50/320 Filling connection;,
Pr_60_55_31_96,60,55,31,96,Water inlet adaptors,,
Pr_60_55_31_97,60,55,31,97,Water inlet boxes,,
Pr_60_55_33,60,55,33,,Gas and vacuum generators,,
Pr_60_55_33_04,60,55,33,04,Anaerobic digesters,90-30-35/310 Anaerobic digesters;,
Pr_60_55_33_13,60,55,33,13,Chlorine generators,,
Pr_60_55_33_39,60,55,33,39,Hydrogen generators,90-30-45/325 Hydrogen generators;,
Pr_60_55_33_56,60,55,33,56,Nitrogen generators,90-30-45/330 Nitrogen generators;,
Pr_60_55_33_60,60,55,33,60,Ozone generators,,
Pr_60_55_33_73,60,55,33,73,Pressure swing adsorption (PSA) plant,90-30-55/326 Pressure swing adsorption (PSA) plant;,
Pr_60_55_33_81,60,55,33,81,Sodium hypochlorite generators,,
Pr_60_55_33_94,60,55,33,94,Vacuum plant,90-30-55/322 Medical vacuum plant;,
Pr_60_55_96,60,55,96,,Water treatment chemicals,,
Pr_60_55_96_06,60,55,96,06,Bacteria and biofouling inhibitors,90-15-95/335 pH control chemicals;,
Pr_60_55_96_07,60,55,96,07,Biocide chemicals,,
Pr_60_55_96_08,60,55,96,08,Biodispersant chemicals,90-15-95/310 Biodispersant chemicals;,
Pr_60_55_96_12,60,55,96,12,Chlorination chemicals,90-12-65/305 Chlorination chemicals;,
Pr_60_55_96_15,60,55,96,15,Corrosion inhibitor chemicals,90-15-95/315 Corrosion inhibitor chemicals;,
Pr_60_55_96_16,60,55,96,16,Corrosion inhibitor chemicals for closed circuits,90-15-95/317 Corrosion inhibitors for closed circuit systems;,
Pr_60_55_96_21,60,55,96,21,De-chlorination chemicals,90-12-65/310 De-chlorination chemicals;,
Pr_60_55_96_22,60,55,96,22,Dispersant chemicals,90-15-95/320 Dispersant chemicals;,
Pr_60_55_96_58,60,55,96,58,Odour control chemicals,90-12-65/330 Odour control chemicals;,
Pr_60_55_96_64,60,55,96,64,pH correction chemicals,90-12-65/325 pH correction chemicals;,
Pr_60_55_96_77,60,55,96,77,Scale inhibitor chemicals,90-15-95/340 Scale inhibitor chemicals;,
Pr_60_55_96_78,60,55,96,78,Septicity control chemicals,90-12-65/335 Septicity control chemicals;,
Pr_60_55_96_79,60,55,96,79,Settlement coagulants,90-12-65/300 Settlement coagulants;,
Pr_60_55_96_96,60,55,96,96,Water plumbosolvency reduction chemicals,90-12-65/315 Water plumbosolvency reduction chemicals;,
Pr_60_55_97,60,55,97,,Water treatment products,,
Pr_60_55_97_02,60,55,97,02,Alkalinity dosing units,90-15-75/320 Alkalinity dosing units;,
Pr_60_55_97_06,60,55,97,06,Bioaugmentation devices,90-15-90/361 Bioaugmentation products;,
Pr_60_55_97_07,60,55,97,07,Biocide dosing pots,90-15-95/350 Dosing pots;,
Pr_60_55_97_11,60,55,97,11,Chemical disinfection devices,,
Pr_60_55_97_12,60,55,97,12,Chemical dosing pots,90-15-95/350 Dosing pots;,
Pr_60_55_97_13,60,55,97,13,Chemical injectors,90-15-40/341 Injectors;,
